"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/24/2010","Bob Hope Classic","T2","2.152",".577","305.7","279.7","317","69.12","38' 7""","26.92","3.85","53","124.67","116"
"1/17/2010","Sony Open in Hawaii","T46",".522",".950","322.1","307.0","416","48.21","32' 7""","27.78","20.37","44","123.07","48"
"11/10/2009","(*) Wendy's 3-Tour Challenge","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"10/25/2009","Frys.com Open","CUT","-2.178","-2.242","316.3","291.8","345","46.43","30' 5""","3.57","17.86","1,998","123.65","1,998"
"9/13/2009","BMW Championship","T15",".923",".946","320.8","300.0","381","66.07","27' 8""","14.29","7.14","39","124.70","8"
"9/7/2009","Deutsche Bank Champ","T32",".706",".012","312.8","292.1","348","53.57","24' 7""","16.36","20.00","70","122.17","126"
"8/30/2009","The Barclays","CUT","-.829","-.289","319.8","271.7","338","53.57","38' 6""","11.11","22.22","1,998","120.72","1,998"
"8/23/2009","Wyndham Championship","CUT","-.153","-.450","323.5","288.3","349","42.86","21' 10""","28.57","21.43","1,998","-","-"
"8/16/2009","PGA Championship","CUT","-","-","302.0","-","338","50.00","-","-","-","1,998","-","-"
"7/26/2009","RBC Canadian Open","CUT",".698","-.293","285.3","286.3","326","53.57","46' 1""","18.52","11.11","1,998","122.35","1,998"
"7/19/2009","The Open Championship","CUT","-","-","286.3","-","310","42.86","-","-","-","1,998","-","-"
"7/5/2009","AT&T National","W/D","-","-","-","-","-","-","-","-","-","-","-","-"
"6/28/2009","Travelers Championship","T14",".840",".815","313.6","294.0","342","75.00","16' 5""","12.50","7.14","40","123.06","30"
"6/21/2009","U.S. Open Championship","T18","-","-","296.3","-","321","51.79","-","-","-","57","-","-"
"6/7/2009","the Memorial Tournament","T23",".628","1.110","312.9","294.8","370","80.36","45' 4""","7.14","8.93","10","121.91","-"
"5/10/2009","THE PLAYERS Championship","T37","1.744",".980","308.5","291.6","333","53.57","21' 1""","21.82","16.36","63","124.06","67"
"5/3/2009","Quail Hollow Championship","T2","2.789","1.168","331.6","316.8","380","41.07","35' 2""","19.23","26.92","58","126.40","38"
"4/26/2009","Zurich Classic of New Orl","CUT",".429","1.060","331.0","312.3","374","46.43","32' 10""","10.71","28.57","1,998","126.14","1,998"
"4/12/2009","Masters Tournament","42","-","-","292.5","-","349","64.29","-","-","-","44","-","-"
"3/29/2009","Arnold Palmer Invt'l","CUT","-.944","1.507","322.0","292.3","365","64.29","29' 7""","18.52","14.81","1,998","123.84","1,998"
"3/22/2009","Transitions Championship","CUT","-1.041",".098","315.5","276.8","326","46.15","29' 6""","34.78","8.70","1,998","125.14","1,998"
"3/15/2009","WGC-CA Championship","72","-1.264",".331","319.6","303.8","370","32.14","34' 5""","29.63","24.07","81","124.20","58"
"2/22/2009","Northern Trust Open","T17","1.574","1.051","315.1","292.3","364","60.71","29' 10""","21.43","16.07","32","124.78","68"
"2/8/2009","Buick Invitational","T7",".991",".078","297.6","292.7","355","41.07","29' 6""","26.83","14.63","65","121.01","52"
"2/1/2009","FBR Open","T25",".395","-.430","317.9","311.6","371","33.93","37' 10""","28.30","16.98","74","124.90","98"
"1/25/2009","The 50th Bob Hope Classic","T25","-.712","-1.148","306.9","280.4","362","60.29","27' 2""",".00","16.00","84","122.63","105"
"1/18/2009","Sony Open in Hawaii","CUT","-.072",".713","320.8","292.5","373","32.14","42' 1""","38.46","19.23","1,998","124.55","1,998"
"11/9/2008","Children's Miracle-Disney","CUT","-.633",".087","309.3","293.4","328","60.71","30' 2""","7.69","23.08","1,998","122.17","1,998"
"10/26/2008","Frys.com Open","T34",".704",".589","311.3","290.8","342","67.86","19' 9""","17.86","5.36","48","124.89","120"
"9/28/2008","THE TOUR Championship","30","-2.841","-.051","324.8","304.2","381","37.50","32' 11""","18.87","24.53","30","123.86","57"
"9/7/2008","BMW Championship","T28",".104","-.219","321.8","282.6","350","51.79","30' 11""","16.07","23.21","66","125.30","12"
"9/1/2008","Deutsche Bank Champ","T44","-.635",".929","329.1","298.6","354","64.29","17' 2""","9.09","23.64","43","126.24","47"
"8/24/2008","The Barclays","T12","1.502",".832","307.3","293.4","345","60.71","23' 11""","19.64","16.07","31","124.10","117"
"8/17/2008","Wyndham Championship","CUT","1.640",".427","319.0","293.2","360","60.71","19' 11""","14.29","10.71","1,998","123.08","1,998"
"8/10/2008","PGA Championship","70","-","-","313.8","-","361","41.07","-","-","-","72","-","-"
